111 , 410
114 , 417
119 , 428
127 , 447
133 , 462
138 , 474
147 , 493
154 , 509
163 , 527
170 , 546
180 , 563
185 , 573
192 , 585
199 , 598
206 , 611
212 , 621
217 , 629
174 , 551
214 , 625
221 , 635
229 , 646
235 , 655
240 , 664
246 , 672
252 , 679
258 , 688
264 , 694
267 , 701
274 , 707
277 , 711
283 , 717
287 , 723
292 , 728
297 , 733
304 , 740
310 , 746
319 , 754
326 , 762
333 , 768
340 , 773
348 , 780
354 , 784
361 , 788
364 , 791
370 , 795
376 , 798
383 , 802
393 , 809
406 , 815
414 , 820
423 , 824
434 , 828
442 , 830
448 , 833
455 , 834
462 , 835
468 , 836
475 , 838
482 , 838
489 , 839
494 , 840
482 , 840
492 , 841
504 , 841
512 , 841
523 , 842
537 , 842
546 , 841
560 , 840
578 , 834
588 , 831
599 , 827
609 , 824
617 , 819
627 , 817
639 , 810
648 , 805
658 , 801
663 , 796
669 , 791
676 , 787
686 , 780
696 , 772
707 , 762
719 , 752
727 , 744
736 , 736
745 , 727
755 , 715
761 , 709
767 , 702
774 , 693
781 , 684
788 , 674
796 , 666
805 , 651
812 , 641
818 , 633
828 , 618
832 , 609
838 , 598
843 , 590
851 , 578
855 , 568
859 , 560
866 , 553
874 , 535
878 , 525
883 , 515
889 , 504
893 , 493
900 , 480
906 , 466
915 , 446
920 , 432
926 , 419
931 , 408
