66.379	467	66.405	552
66.431	473	66.456	545
66.481	479	66.506	537
66.532	485	66.558	530
66.582	490	66.608	524
66.633	494	66.659	519
66.684	497	66.709	514
66.735	499	66.760	511
66.785	500	66.811	510
66.836	499	66.862	511
66.886	497	66.912	514
66.938	494	66.963	518
66.988	489	67.013	523
67.039	484	67.064	529
67.089	478	67.115	535
67.140	473	67.166	543
67.190	466	67.216	550
67.242	462	67.267	557
67.292	457	67.317	562
67.343	454	67.369	567
67.393	451	67.419	570
67.444	450	67.470	571
67.495	450	67.520	572
67.546	452	67.571	570
67.596	455	67.622	567
67.647	459	67.673	563
67.697	464	67.723	557
67.749	469	67.774	551
67.799	475	67.824	544
67.850	481	67.876	537
67.900	486	67.926	530
67.951	491	67.977	524
68.001	495	68.027	519
68.053	498	68.078	515
68.103	500	68.128	513
68.154	500	68.180	512
68.204	498	68.230	513
68.255	496	68.281	515
68.306	492	68.331	519
68.357	487	68.382	525
68.407	482	68.433	530
68.458	476	68.484	537
68.508	471	68.534	543
68.560	465	68.585	550
68.610	461	68.635	556
68.661	456	68.687	562
68.711	453	68.737	566
68.762	451	68.788	569
68.812	450	68.838	570
68.864	451	68.889	570
68.914	453	68.939	568
68.965	457	68.991	565
69.015	461	69.041	561
69.066	466	69.092	555
69.117	472	69.142	549
69.168	477	69.193	542
69.218	483	69.244	537
69.269	488	69.295	530
69.319	493	69.345	525
69.371	496	69.396	520
69.421	498	69.446	517
69.472	499	69.498	514
69.522	498	69.548	514
69.573	498	69.599	515
69.623	495	69.649	518
69.675	490	69.700	522
69.725	486	69.750	526
69.776	480	69.802	532
69.826	475	69.852	538
69.877	469	69.903	545
69.929	463	69.953	551
69.979	459	70.004	557
70.030	455	70.055	562
70.080	453	70.106	565
70.131	451	70.156	568
70.182	451	70.207	569
70.233	452	70.257	568
70.283	455	70.309	567
70.334	458	70.359	563
70.384	462	70.410	559
70.436	468	70.460	554
70.486	473	70.511	548
70.537	479	70.561	542
70.587	484	70.613	536
70.638	489	70.663	530
70.688	493	70.714	525
70.740	497	70.764	520
70.790	499	70.815	517
70.841	499	70.866	516
70.891	498	70.917	516
70.942	496	70.967	517
70.993	494	71.018	520
71.044	489	71.068	524
71.094	484	71.120	528
71.145	479	71.170	534
71.195	473	71.221	540
71.247	468	71.271	545
71.297	463	71.322	551
71.348	458	71.372	556
71.398	455	71.424	561
71.449	452	71.474	564
71.499	451	71.525	566
71.551	451	71.575	567
71.601	453	71.626	566
71.652	456	71.677	564
71.702	460	71.728	561
71.753	464	71.778	557
71.804	469	71.829	552
71.855	474	71.879	546
71.905	479	71.931	540
71.956	485	71.981	535
72.006	490	72.032	530
72.058	494	72.082	525
72.108	496	72.133	522
72.159	498	72.183	519
72.209	498	72.235	518
72.260	497	72.285	518
72.310	495	72.336	519
72.362	491	72.386	522
72.412	487	72.437	526
72.463	482	72.488	530
72.513	476	72.539	536
72.564	471	72.589	541
72.615	466	72.640	546
72.666	461	72.690	552
72.716	457	72.742	557
72.767	454	72.792	560
72.817	452	72.843	563
72.869	451	72.893	565
72.919	451	72.944	565
72.970	453	72.994	564
73.020	456	73.046	562
73.071	460	73.097	559
73.121	464	73.147	555
73.173	470	73.198	550
73.223	475	73.248	545
73.274	481	73.300	540
73.324	485	73.350	534
73.375	490	73.401	529
73.426	493	73.451	526
73.477	496	73.502	522
73.527	497	73.553	520
73.578	498	73.604	519
73.628	496	73.654	520
73.680	493	73.705	522
73.730	489	73.755	524
73.781	486	73.807	528
73.831	480	73.857	532
73.882	475	73.908	537
73.932	470	73.958	543
73.984	465	74.009	547
74.034	460	74.059	553
74.085	456	74.111	557
74.135	453	74.161	560
74.186	452	74.212	562
74.237	451	74.262	563
74.288	451	74.313	563
74.338	454	74.364	562
74.389	457	74.415	560
74.439	461	74.465	556
74.491	466	74.516	552
74.541	471	74.566	548
74.592	476	74.618	543
74.642	481	74.668	539
74.693	486	74.719	534
74.743	490	74.769	530
74.795	494	74.820	526
74.845	496	74.870	524
74.896	497	74.922	522
74.946	497	74.972	521
74.997	495	75.023	522
75.048	492	75.073	524
75.099	489	75.124	527
75.149	484	75.175	530
75.200	479	75.226	534
75.250	474	75.276	539
75.302	469	75.327	544
75.352	464	75.377	549
75.403	459	75.429	552
75.453	456	75.479	556
75.504	453	75.530	558
75.554	451	75.580	560
75.606	451	75.631	562
75.656	453	75.681	561
75.707	455	75.733	560
75.757	458	75.783	558
75.808	462	75.834	554
75.859	467	75.884	551
75.910	471	75.935	546
75.960	477	75.986	542
76.011	482	76.037	537
76.061	487	76.087	533
76.113	491	76.138	530
76.163	493	76.188	527
76.214	496	76.240	525
76.264	496	76.290	523
76.315	496	76.341	523
76.365	495	76.391	524
76.417	491	76.442	526
76.467	487	76.492	529
76.518	483	76.544	532
76.568	478	76.594	537
76.619	473	76.645	541
76.670	468	76.695	546
76.721	463	76.746	550
76.772	459	76.797	553
76.822	455	76.848	556
76.873	453	76.898	559
76.924	452	76.949	560
76.975	452	76.999	560
77.025	453	77.051	559
77.076	455	77.101	558
77.126	458	77.152	555
77.178	463	77.202	552
77.228	468	77.253	549
77.279	473	77.303	544
77.329	478	77.355	540
77.380	483	77.405	536
77.430	487	77.456	533
77.482	491	77.506	529
77.532	493	77.557	527
77.583	496	77.608	525
77.633	496	77.659	524
77.684	495	77.709	526
77.735	493	77.760	526
77.786	490	77.810	528
77.836	486	77.862	531
77.887	481	77.912	534
77.937	477	77.963	539

