47.879	540	47.903	509
47.929	538	47.954	509
47.980	533	48.005	509
48.030	526	48.056	509
48.081	519	48.106	509
48.132	510	48.157	509
48.183	501	48.207	509
48.233	492	48.258	509
48.284	483	48.309	510
48.334	475	48.360	509
48.385	468	48.410	510
48.436	463	48.461	509
48.487	459	48.511	509
48.537	457	48.563	509
48.588	458	48.613	509
48.638	461	48.664	509
48.690	466	48.714	509
48.740	472	48.765	509
48.791	479	48.816	509
48.841	488	48.867	509
48.892	497	48.918	509
48.943	506	48.968	509
48.994	514	49.019	509
49.044	522	49.069	509
49.095	529	49.121	509
49.145	534	49.171	509
49.196	537	49.222	509
49.247	539	49.272	509
49.298	538	49.323	510
49.348	536	49.374	509
49.399	530	49.425	509
49.449	525	49.475	509
49.501	516	49.526	510
49.551	508	49.576	510
49.602	500	49.628	509
49.652	491	49.678	510
49.703	482	49.729	509
49.754	474	49.779	509
49.805	468	49.830	509
49.855	464	49.880	509
49.906	460	49.932	509
49.956	459	49.982	509
50.007	460	50.033	508
50.058	463	50.083	509
50.109	468	50.134	509
50.159	474	50.185	509
50.210	481	50.236	509
50.260	489	50.286	509
50.312	498	50.337	509
50.362	507	50.387	509
50.413	515	50.439	509
50.463	522	50.489	510
50.514	529	50.540	509
50.565	534	50.590	509
50.616	537	50.641	509
50.666	537	50.692	509
50.717	536	50.743	510
50.767	533	50.793	509
50.818	528	50.844	509
50.869	522	50.894	509
50.920	515	50.945	509
50.970	506	50.996	509
51.021	498	51.047	509
51.071	489	51.097	509
51.123	481	51.148	509
51.173	474	51.198	509
51.224	468	51.250	509
51.274	463	51.300	509
51.325	461	51.351	509
51.376	460	51.401	509
51.427	462	51.452	509
51.477	465	51.503	509
51.528	469	51.554	509
51.578	476	51.604	509
51.629	483	51.655	509
51.680	491	51.705	509
51.731	499	51.756	509
51.781	508	51.807	509
51.832	516	51.858	509
51.882	523	51.908	510
51.934	529	51.959	510
51.984	533	52.009	509
52.035	535	52.061	509
52.085	536	52.111	509
52.136	535	52.162	509
52.187	532	52.212	509
52.238	527	52.263	509
52.288	521	52.314	510
52.339	513	52.365	509
52.389	505	52.415	509
52.440	497	52.466	509
52.491	489	52.516	509
52.542	481	52.567	509
52.592	474	52.618	509
52.643	468	52.669	509
52.693	464	52.719	509
52.745	462	52.770	509
52.795	462	52.820	509
52.846	463	52.872	509
52.896	466	52.922	509
52.947	471	52.973	509
52.998	477	53.023	509
53.049	484	53.074	510
53.099	493	53.125	509
53.150	501	53.176	509
53.200	508	53.226	509
53.252	516	53.277	509
53.302	523	53.327	509
53.353	528	53.378	509
53.403	533	53.429	509
53.454	534	53.480	509
53.504	535	53.530	509
53.556	533	53.581	509
53.606	529	53.631	510
53.657	525	53.683	509
53.707	518	53.733	510
53.758	511	53.784	509
53.809	503	53.834	509
53.860	496	53.885	509
53.910	488	53.936	509
53.961	480	53.987	509
54.011	474	54.037	509
54.063	469	54.088	509
54.113	465	54.138	509
54.164	463	54.189	509
54.214	463	54.240	509
54.265	465	54.291	509
54.315	468	54.341	510
54.367	474	54.392	509
54.417	480	54.442	509
54.468	486	54.494	509
54.518	495	54.544	509
54.569	502	54.595	509
54.620	510	54.645	509
54.671	517	54.696	509
54.721	523	54.747	509
54.772	528	54.798	510
54.822	531	54.848	509
54.874	533	54.899	510
54.924	533	54.949	509
54.975	531	55.000	509
55.025	528	55.051	509
55.076	523	55.102	509
55.126	517	55.152	509
55.178	510	55.203	509
55.228	502	55.253	509
55.279	494	55.305	509
55.329	487	55.355	509
55.380	480	55.406	509
55.431	474	55.456	509
55.482	469	55.507	509
55.532	466	55.558	509
55.583	464	55.609	509
55.633	465	55.659	509
55.685	466	55.710	509
55.735	470	55.760	509
55.786	475	55.812	509
55.836	481	55.862	509
55.887	488	55.913	509
55.937	496	55.963	509
55.989	503	56.014	509
56.039	511	56.064	509
56.090	518	56.116	509
56.140	523	56.166	509
56.191	528	56.217	509
56.242	531	56.267	509
56.293	532	56.318	509
56.343	532	56.369	509
56.394	530	56.420	509
56.444	526	56.470	510
56.496	520	56.521	510
56.546	515	56.571	509
56.597	509	56.623	508
56.647	501	56.673	509
56.698	494	56.724	510
56.748	486	56.774	510
56.800	480	56.825	510
56.850	474	56.875	509
56.901	470	56.927	509
56.951	467	56.977	509
57.002	466	57.028	509
57.053	466	57.078	509
57.104	468	57.129	509
57.154	472	57.180	509
57.205	478	57.231	509
57.255	483	57.281	509
57.307	490	57.332	509
57.357	497	57.382	508
57.408	504	57.434	510
57.458	511	57.484	509
57.509	518	57.535	509
57.559	523	57.585	509
57.611	527	57.636	509
57.661	530	57.686	509
57.712	531	57.738	509
57.762	530	57.788	509
57.813	529	57.839	510
57.864	524	57.889	509


